Included_in_analysis,ID,avg_response_friend_approached,avg_response_stranger_approached,avg_response_friend_approaching,avg_response_stranger_approaching,Sex_1m_2f,Country,country_1in_2us,age,UCLA,loneliness_L1_H2,covid_loneliness,covid_loneliness_L1_H2,Avg_approached,Avg_Approaching,Avg_Friend,Avg_Stranger,average_response_time_total,Zavg_response_friend_approached,Zavg_response_stranger_approached,Zavg_response_friend_approaching,Zavg_response_stranger_approaching,Zavg_response_total,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV
1,106,1.38,1.24,2.14,2.26,1,78,1,40,45,2,2,1,1.31,2.20,1.76,1.75,1.76,-2.73,-1.12,-1.34,0.10,-1.27,3,2,3,2,1,2,4,3,2,1,3,2,2,2,3,2,2,1,3,2
1,107,3.21,1.55,2.97,1.67,1,187,2,55,47,2,5,2,2.38,2.32,3.09,1.61,2.35,0.00,-0.77,-0.17,-0.56,-0.38,2,3,2,3,3,3,3,2,2,2,1,3,3,3,2,2,2,2,2,2
1,108,3.28,3.06,3.24,3.13,1,187,2,62,34,1,4,2,3.17,3.19,3.26,3.10,3.18,0.11,0.93,0.20,1.07,0.58,1,3,2,1,2,2,2,2,2,2,2,1,2,3,1,2,1,1,1,1
1,109,3.34,2.89,2.81,2.25,1,187,2,44,66,2,4,2,3.12,2.53,3.08,2.57,2.82,0.20,0.74,-0.40,0.09,0.16,2,4,4,3,4,4,3,4,3,3,3,4,4,4,3,3,2,3,3,3
1,110,3.16,1.88,2.26,1.58,1,78,1,35,31,1,3,1,2.52,1.92,2.71,1.73,2.22,-0.07,-0.40,-1.17,-0.66,-0.58,1,2,3,1,1,1,1,2,2,1,1,2,2,1,1,1,3,2,1,2
1,111,3.62,2.65,3.62,2.79,1,78,1,42,40,1,2,1,3.14,3.21,3.62,2.72,3.17,0.61,0.47,0.74,0.69,0.63,1,2,2,3,1,2,2,3,1,1,2,3,2,2,2,2,2,3,2,2
1,112,2.92,1.89,2.10,1.11,1,187,2,44,51,2,2,1,2.41,1.61,2.51,1.50,2.01,-0.43,-0.39,-1.39,-1.18,-0.85,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,2
1,113,2.64,1.08,3.01,1.25,1,187,2,42,65,2,4,2,1.86,2.13,2.83,1.17,2.00,-0.85,-1.30,-0.12,-1.02,-0.82,2,4,3,4,3,3,4,3,2,3,4,4,4,4,3,3,3,3,3,3
1,114,3.08,0.96,3.52,0.57,1,187,2,31,40,1,2,1,2.02,2.05,3.30,0.77,2.03,-0.18,-1.43,0.60,-1.78,-0.70,1,3,1,2,1,2,2,3,1,2,2,3,3,2,2,2,3,2,2,1
1,115,3.46,1.25,3.25,1.28,1,187,2,26,27,1,3,1,2.36,2.27,3.36,1.27,2.31,0.38,-1.11,0.22,-0.99,-0.38,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,4,1
1,116,3.26,2.35,3.30,1.29,1,187,2,45,28,1,2,1,2.80,2.29,3.28,1.82,2.55,0.08,0.13,0.29,-0.98,-0.12,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,3,2,1,1
1,117,3.09,2.49,2.87,2.59,2,187,2,28,79,2,3,1,2.79,2.73,2.98,2.54,2.76,-0.18,0.29,-0.31,0.47,0.07,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
1,118,3.43,2.57,3.40,2.71,2,78,1,37,48,2,4,2,3.00,3.05,3.41,2.64,3.03,0.33,0.37,0.43,0.60,0.43,2,3,2,3,2,3,1,2,3,4,2,3,2,1,3,2,2,3,3,2
1,119,3.62,2.41,3.15,2.31,1,187,2,42,62,2,5,2,3.02,2.73,3.39,2.36,2.87,0.61,0.20,0.08,0.16,0.26,2,4,3,3,2,3,3,3,3,3,4,3,4,4,3,3,4,4,2,2
1,120,3.43,2.72,3.36,1.73,2,187,2,42,36,1,3,1,3.08,2.55,3.39,2.23,2.81,0.33,0.55,0.37,-0.49,0.19,1,2,2,2,2,2,1,3,1,1,2,1,2,2,2,2,3,2,2,1
1,121,3.81,3.08,4.00,3.24,1,187,2,60,30,1,3,1,3.44,3.62,3.90,3.16,3.53,0.89,0.95,1.27,1.20,1.08,2,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,3,2,1,1
1,122,3.54,2.74,3.45,2.93,2,187,2,59,23,1,4,2,3.14,3.19,3.49,2.83,3.16,0.49,0.57,0.50,0.85,0.60,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,123,3.74,3.41,3.52,3.05,1,78,1,44,25,1,3,1,3.57,3.28,3.63,3.23,3.43,0.79,1.32,0.59,0.98,0.92,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,2,1,1
1,124,2.95,2.01,3.14,2.19,2,187,2,62,46,2,4,2,2.48,2.67,3.05,2.10,2.57,-0.39,-0.25,0.06,0.03,-0.14,2,3,2,3,2,2,2,3,2,2,2,3,3,2,2,2,3,3,1,2
0,125,0.92,1.00,0.79,1.24,1,187,2,31,53,2,2,1,0.96,1.02,0.86,1.12,0.99,-3.41,-1.39,-3.23,-1.04,-2.27,2,2,1,3,2,1,3,2,4,3,3,4,3,2,3,4,3,2,4,2
1,126,3.47,2.40,3.15,2.31,2,187,2,35,22,1,3,1,2.94,2.73,3.31,2.35,2.83,0.39,0.19,0.07,0.16,0.20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
1,127,3.84,2.77,3.51,2.36,1,187,2,47,34,1,3,1,3.31,2.93,3.67,2.57,3.12,0.94,0.61,0.58,0.21,0.58,2,2,1,2,2,2,1,2,2,1,2,2,3,1,1,2,3,1,1,1
1,128,3.38,2.95,3.41,3.18,1,187,2,38,62,2,3,1,3.17,3.30,3.40,3.07,3.23,0.26,0.80,0.44,1.13,0.66,2,4,4,3,3,3,4,3,3,3,3,3,4,4,3,3,1,3,3,3
1,129,4.00,3.56,4.00,3.56,1,111, ,49,48,2,4,2,3.78,3.78,4.00,3.56,3.78,1.18,1.49,1.27,1.55,1.37,2,3,2,2,1,2,2,3,2,2,2,3,3,3,3,3,2,3,3,2
1,130,3.53,2.56,3.11,1.28,1,187,2,44,26,1,3,1,3.05,2.20,3.32,1.92,2.62,0.48,0.37,0.02,-0.99,-0.03,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,1,3,1,1,1
1,131,2.89,1.17,2.68,2.06,1,187,2,34,30,1,4,2,2.03,2.37,2.78,1.61,2.20,-0.47,-1.20,-0.59,-0.12,-0.59,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,2,3,2,1,1
1,132,3.68,3.28,3.54,3.10,2,187,2,62,47,2,2,1,3.48,3.32,3.61,3.19,3.40,0.71,1.18,0.63,1.04,0.89,2,3,2,3,1,2,2,3,2,2,3,3,3,3,2,2,2,3,2,2
1,133,3.24,2.45,3.26,2.21,2,187,2,69,24,1,3,1,2.85,2.74,3.25,2.33,2.79,0.05,0.24,0.23,0.05,0.14,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1
1,134,3.48,3.26,3.39,3.18,1,187,2,41,29,1,3,1,3.37,3.29,3.44,3.22,3.33,0.40,1.15,0.41,1.13,0.78,2,1,1,1,1,1,1,1,1,1,2,2,2,1,4,1,2,2,1,1
1,135,3.15,2.06,3.28,2.15,2,187,2,40,22,1,2,1,2.61,2.72,3.22,2.10,2.66,-0.08,-0.20,0.26,-0.02,-0.01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
1,136,3.73,2.46,3.64,1.82,2,187,2,38,63,2,4,2,3.10,2.73,3.69,2.14,2.91,0.78,0.25,0.77,-0.39,0.35,3,4,4,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3
1,137,3.50,1.47,3.47,1.14,1,187,2,40,65,2,3,1,2.49,2.31,3.49,1.31,2.40,0.43,-0.86,0.53,-1.15,-0.26,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3
1,138,3.14,0.91,2.94,0.97,1,187,2,37,54,2,5,2,2.03,1.96,3.04,0.94,1.99,-0.10,-1.49,-0.22,-1.34,-0.79,2,3,3,3,2,2,3,3,3,2,4,3,3,3,2,3,3,3,2,2
1,139,3.43,2.13,3.45,1.29,2,187,2,57,55,2,3,1,2.78,2.37,3.44,1.71,2.58,0.33,-0.12,0.50,-0.98,-0.07,2,4,3,2,4,3,4,2,1,3,3,1,3,3,4,2,3,4,2,2
0,140,1.02,0.99,0.98,0.99,1,187,2,38,23,1,3,1,1.01,0.99,1.00,0.99,1.00,-3.26,-1.40,-2.96,-1.31,-2.24,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
0,141,0.73,0.41,0.83,0.22,1,187,2,33,42,2,4,2,0.57,0.52,0.78,0.31,0.54,-3.70,-2.06,-3.17,-2.18,-2.78,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,3,2,2,2
1,142,3.47,2.17,2.63,1.59,1,187,2,37,52,2,3,1,2.82,2.11,3.05,1.88,2.46,0.39,-0.07,-0.66,-0.65,-0.25,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,2
1,143,3.39,0.78,3.06,1.14,2,187,2,62,34,1,2,1,2.08,2.10,3.22,0.96,2.09,0.27,-1.64,-0.05,-1.14,-0.64,2,2,2,1,2,1,2,2,2,1,2,2,3,1,1,2,1,2,1,2
1,144,3.52,2.70,3.24,2.67,1,187,2,32,25,1,1,1,3.11,2.95,3.38,2.68,3.03,0.47,0.52,0.20,0.56,0.44,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,1,1
1,145,3.49,1.41,3.55,0.43,2,187,2,36,67,2,3,1,2.45,1.99,3.52,0.92,2.22,0.42,-0.93,0.63,-1.94,-0.45,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,3,4,3,3,2
1,146,3.64,2.68,3.43,2.52,2,187,2,39,40,1,4,2,3.16,2.98,3.54,2.60,3.07,0.65,0.50,0.48,0.39,0.50,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2
1,147,3.59,2.44,3.59,3.02,1,187,2,31,55,2,4,2,3.01,3.30,3.59,2.73,3.16,0.57,0.23,0.70,0.95,0.61,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2
1,148,4.00,2.05,4.00,2.45,2,187,2,55,49,2,4,2,3.03,3.23,4.00,2.25,3.13,1.18,-0.21,1.27,0.32,0.64,2,3,2,3,2,3,3,4,2,3,2,3,3,2,1,3,1,3,2,2
1,149,4.00,3.73,4.00,3.55,1,78,1,46,34,1,3,1,3.87,3.78,4.00,3.64,3.82,1.18,1.68,1.27,1.55,1.42,1,2,1,3,1,2,1,2,1,1,2,2,2,2,2,1,2,3,1,2
1,150,3.36,2.94,3.30,2.63,2,187,2,43,23,1,3,1,3.15,2.96,3.33,2.79,3.06,0.23,0.80,0.29,0.51,0.46,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1
1,151,4.00,3.63,3.99,3.61,1,187,2,50,31,1,4,2,3.82,3.80,4.00,3.62,3.81,1.18,1.57,1.26,1.61,1.40,1,3,2,2,1,1,1,1,1,1,2,2,2,2,1,1,3,2,1,1
1,152,3.71,2.37,3.65,2.45,2,187,2,62,57,2,5,2,3.04,3.05,3.68,2.41,3.04,0.75,0.15,0.78,0.31,0.50,2,4,4,4,3,2,3,2,3,2,3,3,3,4,2,3,2,3,3,2
1,153,3.20,0.48,3.02,0.85,1,78,1,41,47,2,2,1,1.84,1.94,3.11,0.67,1.89,-0.01,-1.97,-0.10,-1.47,-0.89,2,3,3,2,2,2,3,3,1,1,4,2,3,2,3,2,2,2,2,3
1,154,3.57,3.27,3.56,3.29,1,187,2,51,46,2,3,1,3.42,3.43,3.57,3.28,3.42,0.54,1.17,0.65,1.25,0.90,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,3,4,2,2,2
1,155,3.30,2.79,3.61,3.15,2,187,2,59,39,1,3,1,3.05,3.38,3.46,2.97,3.21,0.14,0.62,0.72,1.10,0.65,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
1,156,3.46,3.04,3.51,3.19,2,78,1,31,51,2,4,2,3.25,3.35,3.49,3.12,3.30,0.38,0.91,0.58,1.14,0.75,3,3,4,2,2,1,3,4,2,1,3,4,3,4,1,1,4,3,1,2
1,157,2.10,1.64,2.10,1.71,2,187,2,46,38,1,4,2,1.87,1.91,2.10,1.68,1.89,-1.65,-0.67,-1.39,-0.51,-1.06,1,3,2,3,2,1,1,3,1,1,3,2,1,3,2,1,4,2,1,1
1,158,3.09,1.60,3.42,0.61,2,187,2,45,65,2,4,2,2.35,2.02,3.26,1.11,2.18,-0.18,-0.71,0.46,-1.74,-0.54,3,4,4,3,4,4,3,4,4,3,2,3,3,2,2,3,4,4,3,3
1,159,3.37,2.93,3.15,2.66,2,187,2,37,49,2,4,2,3.15,2.90,3.26,2.79,3.03,0.24,0.78,0.08,0.55,0.41,3,3,2,2,3,3,2,3,3,2,3,2,3,3,2,2,3,3,1,1
1,160,3.07,1.95,3.03,1.68,2,187,2,53,56,2,5,2,2.51,2.36,3.05,1.81,2.43,-0.21,-0.32,-0.09,-0.54,-0.29,2,4,3,3,3,3,3,3,3,2,3,2,3,4,2,3,2,3,3,2
1,161,3.08,1.44,2.67,2.48,1,78,1,33,35,1,2,1,2.26,2.58,2.88,1.96,2.42,-0.19,-0.89,-0.59,0.35,-0.33,2,1,2,2,2,2,1,2,1,1,2,1,3,1,2,1,2,1,3,3
1,162,3.48,2.86,3.58,2.78,1,187,2,46,25,1,3,1,3.17,3.18,3.53,2.82,3.18,0.40,0.70,0.68,0.68,0.62,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1
1,163,3.63,3.30,3.77,3.46,1,187,2,43,48,2,3,1,3.47,3.62,3.70,3.38,3.54,0.64,1.20,0.95,1.45,1.06,2,2,3,2,3,2,3,2,2,2,2,2,4,2,2,3,3,3,2,2
1,164,2.32,0.53,1.89,1.68,1,187,2,31,46,2,2,1,1.43,1.79,2.11,1.11,1.61,-1.32,-1.92,-1.69,-0.54,-1.37,4,3,3,1,3,2,2,4,3,2,1,2,3,2,3,2,1,2,2,1
1,165,3.08,0.87,2.99,0.65,2,187,2,45,59,2,3,1,1.97,1.82,3.03,0.76,1.90,-0.20,-1.54,-0.14,-1.69,-0.89,2,4,4,3,3,1,4,3,4,3,4,3,2,4,1,4,4,2,2,2
1,166,3.73,3.39,3.64,3.50,2,78,1,40,44,2,3,1,3.56,3.57,3.69,3.45,3.57,0.78,1.30,0.76,1.49,1.08,2,3,2,2,2,2,2,3,1,2,2,2,3,2,2,2,3,3,2,2
1,167,3.71,1.48,3.63,2.02,1,78,1,36,55,2,2,1,2.60,2.83,3.67,1.75,2.71,0.75,-0.85,0.75,-0.16,0.12,2,4,2,3,3,4,3,4,3,2,1,2,4,2,3,2,4,2,2,3
1,168,2.58,0.76,2.65,0.84,2,187,2,41,55,2,3,1,1.67,1.75,2.61,0.80,1.71,-0.94,-1.66,-0.62,-1.48,-1.18,1,2,3,3,3,2,3,3,2,3,4,3,4,3,1,3,2,3,3,4
1,169,3.39,1.13,2.98,1.68,2,187,2,50,56,2,4,2,2.26,2.33,3.19,1.40,2.30,0.27,-1.25,-0.16,-0.55,-0.42,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,3,4,3,3,3
1,170,3.18,2.58,3.28,2.92,1,187,2,40,28,1,4,2,2.88,3.10,3.23,2.75,2.99,-0.04,0.38,0.26,0.84,0.36,1,1,1,2,2,2,1,2,1,1,1,1,2,3,1,1,1,2,1,1
1,171,3.78,3.37,3.57,3.10,1,187,2,39,47,2,3,1,3.57,3.33,3.67,3.23,3.45,0.84,1.28,0.67,1.04,0.96,2,2,3,2,2,2,3,3,2,2,3,3,3,3,1,2,2,3,2,2
1,172,2.51,0.73,2.45,0.92,2,187,2,43,27,1,4,2,1.62,1.69,2.48,0.83,1.65,-1.04,-1.69,-0.91,-1.39,-1.26,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,3,1,1,1
1,173,3.43,2.79,3.47,2.83,2,187,2,70,46,2,4,2,3.11,3.15,3.45,2.81,3.13,0.32,0.63,0.53,0.74,0.55,3,3,3,3,3,2,2,3,1,2,1,2,3,4,3,2,1,3,1,1
1,174,3.34,2.13,3.19,1.19,2,78,1,35,27,1,1,1,2.74,2.19,3.27,1.66,2.46,0.20,-0.12,0.13,-1.09,-0.22,1,2,2,2,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1
1,175,2.45,0.62,2.68,1.78,2,187,2,60,30,1,3,1,1.54,2.23,2.56,1.20,1.88,-1.14,-1.81,-0.58,-0.43,-0.99,1,1,1,1,2,3,1,3,2,1,3,1,1,2,1,1,2,1,1,1
1,176,3.27,3.10,3.46,3.09,2,187,2,34,29,1,3,1,3.19,3.28,3.37,3.10,3.23,0.09,0.97,0.51,1.03,0.65,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,3,2,1,1
1,177,3.47,2.84,3.44,2.06,1,78,1,34,57,2,5,2,3.16,2.75,3.46,2.45,2.95,0.39,0.68,0.48,-0.12,0.36,2,3,4,4,2,3,4,3,3,2,3,3,4,3,1,2,4,3,2,2
1,178,3.44,2.89,3.51,2.88,2,187,2,40,42,2,2,1,3.17,3.20,3.48,2.88,3.18,0.35,0.73,0.58,0.80,0.62,2,3,2,2,1,1,2,3,3,2,3,2,2,3,1,2,3,3,1,1
1,179,3.26,0.98,3.32,1.03,2,187,2,38,24,1,3,1,2.12,2.18,3.29,1.01,2.15,0.08,-1.41,0.32,-1.27,-0.57,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1
1,180,2.58,1.67,2.60,1.46,2,187,2,39,63,2,4,2,2.13,2.03,2.59,1.57,2.08,-0.94,-0.64,-0.69,-0.79,-0.76,2,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3
1,181,3.38,2.95,3.46,2.92,1,187,2,35,46,2,4,2,3.16,3.19,3.42,2.94,3.18,0.25,0.81,0.51,0.84,0.60,1,3,2,2,1,1,3,3,2,2,3,3,4,3,2,2,3,3,1,2
1,182,3.27,2.08,2.99,1.96,1,187,2,74,45,2,3,1,2.68,2.48,3.13,2.02,2.58,0.09,-0.17,-0.15,-0.23,-0.12,2,3,2,1,3,3,2,2,2,3,1,2,2,1,2,2,3,3,3,3
1,183,3.92,3.88,3.75,3.74,2,187,2,45,21,1,3,1,3.90,3.75,3.84,3.81,3.83,1.06,1.86,0.93,1.76,1.40,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,184,3.99,3.32,3.90,3.34,2,187,2,55,67,2,5,2,3.66,3.62,3.95,3.33,3.64,1.17,1.22,1.13,1.31,1.21,2,4,4,4,4,2,4,3,3,3,4,4,4,4,3,3,2,4,3,3
1,185,3.21,1.63,3.11,0.93,2,187,2,50,38,1,2,1,2.42,2.02,3.16,1.28,2.22,0.01,-0.68,0.02,-1.38,-0.51,2,1,1,2,2,2,1,2,3,3,2,2,2,1,1,2,4,3,1,1
1,186,3.71,3.09,3.63,2.89,1,187,2,44,24,1,3,1,3.40,3.26,3.67,2.99,3.33,0.75,0.96,0.75,0.81,0.82,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1
1,187,3.28,2.06,2.82,1.71,2,187,2,56,39,1,4,2,2.67,2.27,3.05,1.89,2.47,0.11,-0.20,-0.38,-0.51,-0.25,2,2,3,3,2,1,1,3,1,2,1,1,1,3,2,2,3,2,2,2
1,188,3.24,2.81,3.42,2.71,2,187,2,37,33,1,3,1,3.03,3.07,3.33,2.76,3.05,0.04,0.65,0.46,0.60,0.44,2,1,1,2,2,2,1,2,3,1,3,1,1,2,1,1,4,1,1,1
1,189,3.13,1.88,3.35,1.75,1,78,1,37,40,1,2,1,2.51,2.55,3.24,1.82,2.53,-0.12,-0.40,0.36,-0.47,-0.16,1,3,1,2,2,2,3,3,2,1,2,1,3,2,2,2,3,1,2,2
1,190,2.24,1.26,2.91,0.68,2,187,2,31,52,2,3,1,1.75,1.80,2.58,0.97,1.77,-1.44,-1.10,-0.26,-1.66,-1.11,1,3,2,3,3,2,3,2,2,2,4,3,4,3,2,2,4,3,2,2
1,191,3.16,0.86,3.19,0.48,2,187,2,58,35,1,4,2,2.01,1.84,3.18,0.67,1.92,-0.07,-1.55,0.13,-1.88,-0.84,2,4,2,3,1,2,1,1,1,2,2,1,1,2,2,1,3,2,1,1
1,192,3.09,2.91,3.11,3.13,1,187,2,50,58,2,5,2,3.00,3.12,3.10,3.02,3.06,-0.18,0.76,0.02,1.07,0.42,2,3,4,3,3,3,3,4,2,2,4,3,3,3,3,3,1,3,3,3
1,193,3.31,1.98,3.29,1.97,2,187,2,39,38,1,3,1,2.65,2.63,3.30,1.98,2.64,0.15,-0.28,0.27,-0.22,-0.02,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2
1,194,3.45,2.69,3.17,0.98,2,187,2,35,56,2,4,2,3.07,2.08,3.31,1.84,2.57,0.36,0.51,0.11,-1.33,-0.09,2,3,3,3,4,3,2,3,3,3,3,2,3,4,2,3,3,3,2,2
1,195,3.12,0.25,2.07,0.47,1,187,2,31,46,2,3,1,1.69,1.27,2.60,0.36,1.48,-0.12,-2.23,-1.44,-1.90,-1.42,2,2,1,3,1,3,1,3,2,1,2,3,2,3,3,4,3,1,3,3
1,196,4.00,3.95,3.94,3.83,1,187,2,61,64,2,3,1,3.97,3.89,3.97,3.89,3.93,1.18,1.93,1.18,1.86,1.54,3,3,3,1,3,3,4,4,4,4,1,4,4,1,4,4,4,4,4,2
1,197,3.52,3.29,3.53,3.16,1,187,2,49,22,1,3,1,3.41,3.35,3.53,3.23,3.38,0.46,1.19,0.61,1.11,0.84,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
1,198,2.29,1.16,2.14,1.39,2,187,2,62,66,2,2,1,1.73,1.77,2.21,1.28,1.75,-1.37,-1.21,-1.34,-0.86,-1.20,3,3,4,3,3,3,4,3,3,3,3,4,4,4,3,3,4,3,3,3
1,199,3.17,0.93,3.02,1.69,2,187,2,58,54,2,2,1,2.05,2.36,3.10,1.31,2.20,-0.05,-1.47,-0.11,-0.53,-0.54,1,3,3,4,3,2,3,3,2,2,3,2,4,3,2,3,4,3,2,2
1,200,3.33,1.53,3.43,1.61,1,185, ,34,31,1,5,2,2.43,2.52,3.38,1.57,2.48,0.18,-0.79,0.47,-0.62,-0.19,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1
1,201,3.41,3.05,3.44,2.57,1,187,2,47,32,1,3,1,3.23,3.01,3.43,2.81,3.12,0.30,0.92,0.48,0.45,0.54,3,2,1,2,2,2,2,2,3,1,2,1,1,1,1,1,1,2,1,1
1,202,3.73,2.80,3.50,3.17,2,187,2,50,26,1,2,1,3.27,3.34,3.62,2.99,3.30,0.78,0.64,0.57,1.12,0.78,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1
1,203,3.45,2.46,3.22,2.38,1,78,1,46,33,1,1,1,2.96,2.80,3.34,2.42,2.88,0.37,0.25,0.18,0.24,0.26,2,2,2,2,3,4,1,1,1,1,1,1,1,1,4,1,2,1,1,1
1,204,3.67,3.34,3.66,3.38,1,78,1,36,42,2,5,2,3.51,3.52,3.67,3.36,3.51,0.69,1.24,0.79,1.35,1.02,1,3,3,3,1,1,3,3,1,1,3,3,3,3,1,1,3,3,1,1
1,205,3.49,3.24,3.41,3.17,1,187,2,39,37,1,4,2,3.37,3.29,3.45,3.21,3.33,0.42,1.13,0.44,1.12,0.78,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,3,3,2,1
1,206,3.56,3.09,3.51,2.96,1,187,2,78,29,1,3,1,3.33,3.24,3.54,3.03,3.28,0.52,0.96,0.58,0.88,0.74,1,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,3,1,1,1
1,207,3.03,2.15,3.36,2.15,2,187,2,61,45,2,4,2,2.59,2.76,3.20,2.15,2.67,-0.27,-0.10,0.37,-0.02,0.00,1,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2
0,208,0.73,0.36,0.84,0.32,1,187,2,47,34,1,4,2,0.55,0.58,0.79,0.34,0.56,-3.69,-2.11,-3.16,-2.06,-2.76,2,2,1,2,1,2,2,3,1,1,2,1,2,3,1,1,3,2,1,1
1,209,3.27,1.40,2.97,0.98,2,78,1,31,34,1,2,1,2.33,1.97,3.12,1.19,2.15,0.10,-0.94,-0.18,-1.32,-0.59,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,3,2,2,1
1,210,3.69,2.81,3.65,2.96,1,187,2,30,30,1,3,1,3.25,3.30,3.67,2.89,3.28,0.72,0.65,0.77,0.89,0.76,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1
1,211,2.97,2.60,2.52,1.90,1,187,2,35,47,2,5,2,2.79,2.21,2.75,2.25,2.50,-0.36,0.41,-0.80,-0.30,-0.26,2,2,2,3,2,2,2,4,3,2,2,3,3,2,1,2,4,3,2,1
1,212,4.00,3.49,3.93,3.47,2,78,1,51,31,1,2,1,3.75,3.70,3.97,3.48,3.72,1.18,1.41,1.17,1.45,1.30,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,3,2,2,2
0,213,0.67,0.34,0.57,0.34,1,187,2,36,36,1,4,2,0.50,0.45,0.62,0.34,0.48,-3.79,-2.14,-3.54,-2.04,-2.88,2,2,2,2,3,2,1,2,1,2,1,2,2,2,2,2,3,1,1,1
1,214,2.60,2.76,2.98,2.77,2,78,1,28,51,2,4,2,2.68,2.88,2.79,2.77,2.78,-0.91,0.59,-0.16,0.67,0.05,3,1,3,2,2,3,3,2,2,2,3,2,3,3,3,3,2,3,3,3
1,215,3.61,2.99,3.53,2.94,1,187,2,35,25,1,3,1,3.30,3.24,3.57,2.96,3.27,0.60,0.85,0.62,0.86,0.73,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1
1,216,3.37,3.11,3.36,3.11,2,187,2,48,36,1,4,2,3.24,3.24,3.37,3.11,3.24,0.24,0.99,0.38,1.06,0.66,2,3,2,2,1,2,1,2,2,1,3,2,2,2,1,2,3,1,1,1
1,217,2.48,0.98,3.17,1.34,2,187,2,47,67,2,4,2,1.73,2.26,2.83,1.16,1.99,-1.08,-1.41,0.11,-0.92,-0.83,2,3,4,3,4,3,4,4,2,3,4,4,4,3,3,3,3,4,4,3
1,218,3.09,1.75,3.13,2.09,1,78,1,35,45,2,4,2,2.42,2.61,3.11,1.92,2.51,-0.18,-0.55,0.05,-0.09,-0.19,2,3,2,4,2,1,4,3,1,1,2,1,3,3,3,1,3,2,2,2
1,219,3.49,2.08,3.23,2.61,1,187,2,34,68,2,4,2,2.79,2.92,3.36,2.35,2.85,0.43,-0.18,0.19,0.50,0.24,2,4,4,3,4,3,4,4,3,3,4,3,3,4,3,3,4,4,3,3
1,220,3.52,3.10,3.58,3.04,2,187,2,62,38,1,4,2,3.31,3.31,3.55,3.07,3.31,0.46,0.97,0.68,0.97,0.77,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,1,1
