ID,avg_responsefriend_approached,avg_responsestranger_approached,avg_responsefriend_approaching,avg_responsestranger_approaching,gender,age,UCLA,COVID_LONELINESS,loneliness_L1_H2,covid_loneliness_1L_2H,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV,Zavg_responsefriend1,Zavg_responsestranger1,Zavg_responsefriend2,Zavg_responsestranger2,response_avg_z
126,2.88,1.62,1.11,1.27,2,31,53,4,2,2,2,4,4,4,4,1,1,4,1,4,3,2,2,3,3,4,3,2,1,1,-0.486416317,-0.693171856,-2.785924701,-1.005513354,-1.242756557
127,4.00,4.00,3.32,2.29,2,31,53,4,2,2,2,3,4,3,2,2,4,3,3,2,4,4,2,3,1,1,3,4,2,1,1.18009252,1.986914333,0.316322202,0.136680937,0.905002498
128,3.12,2.43,3.20,1.23,2,28,46,5,2,2,2,2,2,3,3,2,2,3,1,2,4,2,3,2,1,3,2,3,2,2,-0.131612158,0.219653538,0.148127657,-1.046600277,-0.20260781
129,3.11,1.87,3.09,1.54,1,40,42,4,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,3,2,3,2,2,-0.146517893,-0.410707,-0.006050676,-0.700546337,-0.315955477
130,2.28,2.03,1.65,1.70,1,27,43,4,2,2,2,3,4,3,2,1,2,1,2,1,2,2,3,2,3,2,2,1,2,3,-1.383693896,-0.230603989,-2.024385221,-0.521937852,-1.040155239
131,3.74,3.41,3.76,3.34,1,32,48,4,2,2,2,4,1,3,4,3,1,2,2,2,4,1,2,3,3,2,3,4,1,1,0.792543411,1.32278448,0.933035536,1.308799121,1.089290637
132,4.00,1.88,2.77,3.47,2,37,69,5,2,2,3,3,3,4,4,3,4,4,3,2,4,3,4,4,3,4,4,4,3,3,1.18009252,-0.403953219,-0.449138184,1.449592854,0.444148493
133,3.26,2.57,3.04,2.14,2,32,43,4,2,2,1,2,2,2,2,2,3,2,2,2,3,2,2,3,2,2,4,3,1,1,0.073650779,0.37451262,-0.080393493,-0.026008347,0.08544039
134,3.55,1.72,3.43,1.82,1,35,68,3,2,1,3,3,3,4,3,3,4,4,3,3,3,4,4,4,3,3,4,4,3,3,0.514924153,-0.581523543,0.473128562,-0.39160955,0.003729906
135,3.04,1.90,3.03,2.04,1,39,67,3,2,1,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,4,3,3,3,-0.250858038,-0.376937686,-0.090147949,-0.142394821,-0.215084623
136,3.71,2.93,3.51,3.14,2,35,43,3,2,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,0.751547095,0.777926308,0.57906393,1.089180326,0.799429415
137,3.70,3.01,3.20,2.41,2,39,44,5,2,2,2,4,2,3,2,2,3,2,2,2,2,3,2,3,2,2,2,2,1,1,0.739710085,0.866927579,0.152592603,0.270052671,0.507320734
138,1.38,1.24,2.14,2.26,1,40,45,2,2,1,3,2,3,2,1,2,4,3,2,1,3,2,2,2,3,2,2,1,3,2,-2.725210043,-1.119862606,-1.337590827,0.103191846,-1.269867908
139,3.09,2.49,2.87,2.59,2,28,79,3,2,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,-0.175926134,0.291081192,-0.308974526,0.473063507,0.06981101
140,3.43,2.57,3.40,2.71,2,37,48,4,2,2,2,3,2,3,2,3,1,2,3,4,2,3,2,1,3,2,2,3,3,2,0.327007519,0.373497359,0.431131428,0.601330311,0.433241654
141,0.92,1.00,0.79,1.24,1,31,53,2,2,1,2,2,1,3,2,1,3,2,4,3,3,4,3,2,3,4,3,2,4,2,-3.410873852,-1.390017122,-3.229779463,-1.035437246,-2.266526921
142,3.38,2.95,3.41,3.18,1,38,62,3,2,1,2,4,4,3,3,3,4,3,3,3,3,3,4,4,3,3,1,3,3,3,0.255936951,0.804988324,0.442468111,1.130190636,0.658396006
143,3.73,2.46,3.64,1.82,2,38,63,4,2,2,3,4,4,4,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,0.783972715,0.25074935,0.769396243,-0.38505128,0.354766757
144,3.50,1.47,3.47,1.14,1,40,65,3,2,1,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,3,3,3,0.434805771,-0.860964528,0.526565384,-1.14706755,-0.26166523
145,3.14,0.91,2.94,0.97,1,37,54,5,2,2,2,3,3,3,2,2,3,3,3,2,4,3,3,3,2,3,3,3,2,2,-0.101800688,-1.491325066,-0.216293858,-1.336839065,-0.786564669
146,0.73,0.41,0.83,0.22,1,33,42,4,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,1,2,3,2,2,2,-3.699076327,-2.059550127,-3.171805009,-2.179368828,-2.777450073
147,3.47,2.17,2.63,1.59,1,37,52,3,2,1,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,2,0.391169321,-0.067484183,-0.657524169,-0.648205702,-0.245511183
148,3.49,1.41,3.55,0.43,2,36,67,3,2,1,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,3,4,3,3,2,0.420459064,-0.926814717,0.632387508,-1.939224111,-0.453298064
149,3.59,2.44,3.59,3.02,1,31,55,4,2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,0.568212025,0.226407255,0.698263942,0.946279675,0.609790724
150,3.46,3.04,3.51,3.19,2,31,51,4,2,2,3,3,4,2,2,1,3,4,2,1,3,4,3,4,1,1,4,3,1,2,0.375182831,0.906296268,0.582630233,1.141353666,0.751365749
151,3.37,2.93,3.15,2.66,2,37,49,4,2,2,3,3,2,2,3,3,2,3,3,2,3,2,3,3,2,2,3,3,1,1,0.239731775,0.781125331,0.077556833,0.545973252,0.411096798
152,2.32,0.53,1.89,1.68,1,31,46,2,2,1,4,3,3,1,3,2,2,4,3,2,1,2,3,2,3,2,1,2,2,1,-1.324070956,-1.919069717,-1.68799613,-0.544263912,-1.368850179
153,3.73,3.39,3.64,3.50,2,40,44,3,2,1,2,3,2,2,2,2,2,3,1,2,2,2,3,2,2,2,3,3,2,2,0.777637676,1.300271604,0.76484099,1.487407606,1.082539469
154,3.71,1.48,3.63,2.02,1,36,55,2,2,1,2,4,2,3,3,4,3,4,3,2,1,2,4,2,3,2,4,2,2,3,0.747826206,-0.849708089,0.750824778,-0.164720881,0.121055503
155,3.78,3.37,3.57,3.10,1,39,47,3,2,1,2,2,3,2,2,2,3,3,2,2,3,3,3,3,1,2,2,3,2,2,0.844713625,1.280291516,0.665500999,1.037816543,0.957080671
156,3.47,2.84,3.44,2.06,1,34,57,5,2,2,2,3,4,4,2,3,4,3,3,2,3,3,4,3,1,2,4,3,2,2,0.390088566,0.681167504,0.484516748,-0.12006876,0.358926014
157,3.44,2.89,3.51,2.88,2,40,42,2,2,1,2,3,2,2,1,1,2,3,3,2,3,2,2,3,1,2,3,3,1,1,0.351072815,0.734598872,0.582162378,0.797704495,0.61638464
158,2.58,1.67,2.60,1.46,2,39,63,4,2,2,2,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,-0.936521847,-0.635835764,-0.69284507,-0.789850579,-0.763763315
159,3.38,2.95,3.46,2.92,1,35,46,4,2,2,1,3,2,2,1,1,3,3,2,2,3,3,4,3,2,2,3,3,1,2,0.250794412,0.806761259,0.506451913,0.840872802,0.601220097
160,2.24,1.26,2.91,0.68,2,31,52,3,2,1,1,3,2,3,3,2,3,2,2,2,4,3,4,3,2,2,4,3,2,2,-1.439141457,-1.096774211,-0.255771585,-1.661349143,-1.113259099
161,3.45,2.69,3.17,0.98,2,35,56,4,2,2,2,3,3,3,4,3,2,3,3,3,3,2,3,4,2,3,3,3,2,2,0.360277096,0.512320931,0.106079021,-1.325676035,-0.086749747
162,3.12,0.25,2.07,0.47,1,31,46,3,2,1,2,2,1,3,1,3,1,3,2,1,2,3,2,3,3,4,3,1,3,3,-0.124904523,-2.234531427,-1.437456472,-1.899734926,-1.424156837
163,3.67,3.34,3.66,3.38,1,36,42,5,2,2,1,3,3,3,1,1,3,3,1,1,3,3,3,3,1,1,3,3,1,1,0.688203266,1.243989413,0.792873414,1.353451242,1.019629334
164,2.97,2.60,2.52,1.90,1,35,47,5,2,2,2,2,2,3,2,2,2,4,3,2,2,3,3,2,1,2,4,3,2,1,-0.355198183,0.411012987,-0.804974767,-0.298677245,-0.261959302
165,2.60,2.76,2.98,2.77,2,28,51,4,2,2,3,1,3,2,2,3,3,2,2,2,3,2,3,3,3,3,2,3,3,3,-0.906710377,0.591115998,-0.16022901,0.672506393,0.049170751
166,3.09,1.75,3.13,2.09,1,35,45,4,2,2,2,3,2,4,2,1,4,3,1,1,2,1,3,3,3,1,3,2,2,2,-0.175211464,-0.54820513,0.04927648,-0.088305198,-0.190611328
167,3.49,2.08,3.23,2.61,1,34,68,4,2,2,2,4,4,3,4,3,4,4,3,3,4,3,3,4,3,3,4,4,3,3,0.427000906,-0.175387062,0.192514191,0.498904555,0.235758148
168,3.54,2.90,3.71,3.10,2,28,50,4,2,2,2,2,3,3,1,2,2,3,2,3,3,2,3,3,2,3,3,3,3,2,0.494428711,0.748706133,0.862954475,1.040886393,0.786743928
169,3.12,2.30,2.38,1.27,2,35,45,3,2,1,2,2,2,2,2,3,3,2,2,2,2,2,2,3,3,2,3,2,2,2,-0.131612158,0.073319842,-1.001201736,-1.001948155,-0.515360552
170,3.36,3.20,3.36,3.09,1,30,56,3,2,1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,4,3,2,2,0.226125481,1.086399279,0.372387051,1.029723363,0.678658793
171,3.58,0.64,4.00,0.57,2,35,49,3,2,1,4,2,2,3,2,3,2,2,2,2,3,2,3,2,3,3,3,2,2,2,0.547661797,-1.794372335,1.269424626,-1.780903812,-0.439547431
172,4.00,1.49,4.00,0.68,2,35,49,4,2,2,3,3,2,3,2,3,2,3,2,3,1,2,3,3,2,2,2,3,2,3,1.18009252,-0.833709196,1.269424626,-1.665094303,-0.012321588
173,3.70,2.91,3.21,2.71,1,40,73,4,2,2,3,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,4,3,0.732920471,0.759962571,0.162143869,0.605528211,0.56513878
174,3.48,3.01,3.33,2.43,2,37,60,3,2,1,3,1,3,2,4,2,4,3,3,3,2,4,4,3,3,3,4,4,2,3,0.402491741,0.877470667,0.327709372,0.297293122,0.476241225
175,3.01,0.86,3.02,0.98,1,31,44,4,2,2,2,3,3,2,1,1,3,2,2,2,2,2,3,2,2,3,2,2,2,3,-0.295575243,-1.547607257,-0.104164161,-1.325676035,-0.818255674
176,3.67,3.24,3.33,2.11,1,30,46,4,2,2,1,2,3,3,1,2,2,2,2,2,2,3,3,3,3,2,3,3,2,2,0.686959548,1.126692259,0.334099754,-0.066952194,0.520199842
177,3.16,1.88,3.38,2.92,2,40,43,3,2,1,1,1,1,1,2,3,2,2,3,3,1,1,3,1,2,3,4,3,3,3,-0.067890132,-0.398958234,0.394707624,0.839993718,0.191963244
178,3.61,2.60,3.48,1.73,2,36,42,4,2,2,2,3,2,3,2,2,2,2,3,2,2,1,2,3,1,2,4,2,1,1,0.598768856,0.411012987,0.540581596,-0.488448761,0.26547867
179,3.57,3.16,3.44,3.28,2,30,51,4,2,2,2,4,2,3,2,2,1,3,3,2,4,2,3,3,3,2,4,2,2,2,0.539145916,1.041373526,0.484516748,1.241820939,0.826714282
180,3.10,2.37,3.00,2.41,1,31,43,4,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,-0.161423628,0.152114909,-0.132196585,0.270637301,0.032282999
181,3.47,0.72,2.95,0.75,1,38,46,3,2,1,2,2,3,1,3,2,2,3,3,1,1,4,4,3,2,1,2,3,2,2,0.385680115,-1.702848345,-0.205652053,-1.581637404,-0.776114422
182,2.84,2.05,2.50,1.70,1,36,61,4,2,2,3,3,3,4,2,3,4,4,4,3,3,2,4,4,2,3,4,2,2,2,-0.548972737,-0.208091113,-0.833007191,-0.521937852,-0.528002223
183,2.44,0.93,2.51,0.69,1,35,56,4,2,2,3,4,2,4,3,3,4,2,3,2,2,4,2,1,3,1,3,4,3,3,-1.145202136,-1.46881219,-0.818990979,-1.649403914,-1.270602305
184,1.13,1.22,1.23,1.16,1,40,58,3,2,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-3.097853418,-1.142375482,-2.61306613,-1.124741489,-1.99450913
185,3.02,2.76,2.84,2.38,2,37,62,4,2,2,2,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,-0.280669508,0.591115998,-0.356455979,0.23714821,0.04778468
186,3.23,2.13,2.79,2.68,1,31,66,3,2,1,2,4,3,4,3,4,3,3,4,3,4,3,4,4,3,3,4,3,3,2,0.029109886,-0.120224046,-0.427025988,0.570307373,0.013041806
187,3.42,2.40,3.15,1.96,1,36,62,4,2,2,2,3,4,4,3,3,4,3,3,3,3,2,3,4,3,2,3,4,3,3,0.315559891,0.185884224,0.078046596,-0.231699063,0.086947912
188,3.53,2.83,3.04,2.11,1,39,48,4,2,2,2,3,2,3,2,3,2,3,3,2,2,2,2,3,2,3,3,3,2,1,0.480961158,0.665605449,-0.071708014,-0.065776089,0.252270626
189,3.61,1.84,3.55,2.21,1,31,53,5,2,2,2,3,2,3,3,2,2,3,3,2,3,3,3,4,2,2,4,3,2,2,0.598994366,-0.444484865,0.633281085,0.05129629,0.209771719
190,3.08,1.82,3.12,2.13,1,32,63,1,2,1,2,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,-0.191235098,-0.466989191,0.03599796,-0.041927548,-0.166038469
191,3.68,3.11,3.80,2.93,1,34,47,4,2,2,2,3,2,3,2,2,2,3,2,2,3,3,2,3,2,2,2,3,2,2,0.703109001,0.985091335,0.989100384,0.851114878,0.882103899
192,3.20,1.78,3.27,1.89,1,36,57,4,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,2,-0.006513092,-0.514139696,0.245196158,-0.314225336,-0.147420491
193,3.73,2.63,3.69,3.01,1,33,54,3,2,1,2,3,3,3,2,2,2,3,3,2,4,2,3,4,3,2,4,3,2,2,0.778687498,0.449699855,0.83111223,0.944354099,0.75096342
194,3.54,2.62,3.66,2.76,2,33,63,4,2,2,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,4,2,2,0.498288441,0.43592205,0.79939959,0.656753108,0.597590797
195,3.23,2.86,3.27,3.18,1,33,61,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,0.037357555,0.700209108,0.245940694,1.126935994,0.527610838
196,2.27,2.14,1.85,1.57,1,36,53,5,2,2,1,4,4,4,1,1,4,4,1,1,4,4,4,4,1,1,4,4,1,1,-1.398599631,-0.106783169,-1.744060979,-0.667057246,-0.979125256
197,2.89,0.98,3.37,0.70,2,33,55,4,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,4,3,2,2,-0.477611412,-1.415062761,0.387980063,-1.63433392,-0.784757007
198,3.47,3.47,3.46,3.44,1,34,52,3,2,1,2,4,2,3,2,3,3,3,3,2,2,2,3,3,2,2,4,3,2,2,0.393776747,1.394905635,0.514381828,1.424288891,0.931838275
199,3.72,2.89,3.59,3.14,1,30,45,4,2,2,2,2,2,2,3,3,3,1,2,2,3,2,3,2,2,2,3,2,2,2,0.762731941,0.737449695,0.69475993,1.085538514,0.82012002
200,3.64,2.63,3.37,2.73,2,32,73,3,2,1,4,1,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0.643486061,0.444782302,0.386403263,0.627854271,0.525631474
201,3.19,2.73,3.06,2.75,1,30,67,4,2,2,2,4,3,3,3,3,4,4,3,3,3,4,4,4,3,3,4,4,3,3,-0.024030148,0.556305413,-0.049308429,0.653612835,0.284144918
202,2.72,2.23,2.60,1.82,1,38,46,4,2,2,2,4,1,3,2,3,3,2,2,1,2,1,3,2,3,3,2,1,3,3,-0.728847596,-0.009232177,-0.69063766,-0.38754894,-0.454066593
203,2.51,1.10,1.14,1.20,1,28,52,2,2,1,2,2,3,2,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,-1.044123687,-1.273371007,-2.745804113,-1.079672927,-1.535742934
204,0.91,0.62,0.91,0.67,1,34,53,4,2,2,3,4,3,3,2,2,2,4,3,2,1,2,3,1,4,3,4,3,2,2,-3.419577893,-1.813274749,-3.05792235,-1.666639688,-2.48935367
205,3.26,2.71,3.29,2.93,1,31,42,4,2,2,2,2,1,2,2,2,2,2,3,2,2,2,3,4,1,2,4,2,1,1,0.077068132,0.534833807,0.274273566,0.851114878,0.434322596
206,3.83,3.78,3.60,3.46,1,29,60,3,2,1,2,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4,2,3,0.926695025,1.739272693,0.708776142,1.442755485,1.204374836
207,3.75,3.48,3.73,3.64,2,37,61,4,2,2,3,4,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,0.811920542,1.405800562,0.892213339,1.641038787,1.187743308
208,2.96,3.18,3.20,3.28,1,36,53,4,2,2,2,4,3,4,2,2,3,4,2,1,3,4,3,3,1,2,4,4,1,1,-0.375875239,1.069503285,0.148183531,1.242166899,0.520994619
209,3.16,3.13,3.39,3.05,1,36,54,4,2,2,2,4,3,3,1,3,3,4,2,2,3,4,3,4,1,2,4,3,2,1,-0.068885198,1.004192765,0.408174778,0.990096583,0.583394732
210,3.50,3.19,3.43,3.04,1,30,46,4,2,2,2,4,2,3,1,3,2,3,2,2,1,2,3,2,3,2,3,2,2,2,0.427462546,1.070107664,0.470516335,0.979461866,0.736887103
211,3.60,2.96,3.56,3.02,1,30,44,4,2,2,1,3,2,3,2,2,3,3,2,2,3,2,2,3,1,2,3,3,1,1,0.583863121,0.816244762,0.652711293,0.951582151,0.751100332
212,3.24,2.80,2.88,2.35,1,40,61,3,2,1,3,3,3,2,3,4,3,4,4,3,2,3,4,3,2,3,4,4,2,2,0.050107182,0.639532608,-0.299497727,0.202291547,0.148108403
213,3.25,2.27,3.45,2.97,2,31,50,4,2,2,2,2,3,2,2,3,4,2,2,3,4,2,3,1,3,2,2,3,4,1,0.062162397,0.039550527,0.49853296,0.895766999,0.374003221
214,3.49,2.43,3.39,2.40,1,30,47,4,2,2,2,3,1,3,2,2,2,3,3,2,2,3,2,2,2,2,4,3,2,2,0.419900036,0.219653538,0.414435687,0.259474271,0.328365883
215,2.90,2.26,3.17,2.66,2,39,62,5,2,2,3,3,3,3,3,3,4,4,2,3,4,4,4,3,2,3,3,4,2,2,-0.464256216,0.029573151,0.105104681,0.54942332,0.054961234
216,3.63,3.05,2.86,2.23,2,27,54,5,2,2,2,3,3,3,2,2,4,3,2,2,3,4,4,2,2,3,2,3,3,2,0.62849556,0.921523251,-0.322844357,0.075077091,0.325562886
217,2.65,1.56,2.59,1.65,2,34,64,3,2,1,3,4,3,3,3,3,4,4,2,3,3,4,4,3,2,3,4,4,2,3,-0.832181702,-0.759656584,-0.706861282,-0.577753003,-0.719113143
218,0.91,0.80,0.88,0.81,1,31,58,4,2,2,2,4,3,3,3,3,3,3,2,3,2,3,4,3,3,3,2,3,3,3,-3.430250412,-1.609911699,-3.108519163,-1.517937689,-2.416654741
219,2.81,2.40,2.91,2.24,1,32,52,1,2,1,1,3,3,3,2,2,3,3,1,2,4,4,3,2,1,2,4,4,3,2,-0.593689942,0.185884224,-0.258342494,0.080865786,-0.146320607
220,3.97,2.08,3.99,1.89,2,39,46,1,2,1,2,2,2,2,4,3,2,3,3,1,2,2,3,2,2,3,2,2,2,2,1.135375315,-0.174321798,1.255408414,-0.309840276,0.476655414
221,3.56,1.78,3.19,1.69,1,36,61,3,2,1,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,3,3,4,2,3,0.524240181,-0.512014944,0.134111445,-0.533100882,-0.09669105
222,3.89,3.60,3.73,3.41,2,39,42,3,2,1,2,2,2,2,2,2,2,3,2,2,1,2,3,2,2,3,2,2,2,2,1.014417013,1.535915985,0.8858664,1.382853204,1.204763151
223,1.17,0.97,1.23,0.94,1,32,60,5,2,2,3,3,3,3,2,3,3,3,3,3,3,4,3,4,3,2,4,4,2,2,-3.043954477,-1.428699199,-2.617206167,-1.367492092,-2.114337984
224,3.82,2.93,3.65,2.56,1,35,58,3,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,2,2,0.90551957,0.784510069,0.778226418,0.436656142,0.72622805
225,3.22,2.32,3.07,1.58,2,31,55,3,2,1,3,2,3,3,3,3,3,3,4,3,3,2,2,3,3,2,3,2,2,3,0.012823512,0.099047768,-0.035653805,-0.653296702,-0.144269807
226,3.22,1.16,3.36,1.42,1,36,59,3,2,1,3,2,3,3,3,4,3,4,3,3,3,3,4,3,2,3,3,3,2,2,0.016854237,-1.212136691,0.365564771,-0.8336564,-0.415843521
227,2.10,2.00,2.06,2.07,2,30,68,4,2,2,3,4,4,4,2,3,4,4,3,3,4,4,4,4,3,2,4,4,2,3,-1.647377322,-0.269661085,-1.456310821,-0.113226441,-0.871643917
228,0.90,0.67,0.97,0.84,2,36,63,3,2,1,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,-3.446461356,-1.760354001,-2.974334018,-1.482516666,-2.41591651
229,3.29,1.89,3.24,2.59,1,26,63,5,2,2,2,4,4,4,2,3,4,3,3,2,4,4,3,2,3,3,4,3,3,3,0.124095608,-0.387931804,0.202694423,0.466013263,0.101217873
230,3.07,1.30,0.87,0.51,2,40,57,5,2,2,2,3,2,3,3,2,2,3,3,2,4,3,3,4,2,3,4,4,2,3,-0.202172399,-1.052112954,-3.121609453,-1.852808318,-1.557175781
231,3.35,2.49,3.15,2.45,1,34,67,3,2,1,3,4,4,4,3,2,4,3,3,3,3,4,4,4,3,3,4,3,3,3,0.218055702,0.290653403,0.074873428,0.317008522,0.225147763
232,3.62,0.74,3.76,0.42,2,24,46,2,2,1,2,3,2,2,2,2,3,3,2,1,3,3,3,3,2,2,2,3,2,1,0.613674591,-1.682684515,0.933035536,-1.950805733,-0.52169503
233,3.28,2.25,2.87,2.42,1,35,50,4,2,2,3,2,2,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,2,2,0.106879602,0.017037651,-0.314407343,0.281800331,0.02282756
234,4.00,2.89,2.93,1.40,1,31,65,4,2,2,3,4,3,4,3,3,3,4,3,3,4,4,4,4,2,3,4,3,2,2,1.18009252,0.737168288,-0.227857484,-0.8523635,0.209259956
235,2.86,0.45,3.27,1.83,2,32,42,3,2,1,3,1,1,2,3,2,3,2,2,2,2,1,2,1,4,2,4,2,2,1,-0.519161267,-2.009121222,0.246241142,-0.376818457,-0.664714951
236,3.25,2.62,2.97,2.63,1,32,45,2,2,1,2,3,2,2,2,3,2,2,2,2,2,3,2,1,3,2,1,2,3,4,0.062162397,0.433525864,-0.174245222,0.516223968,0.209416752
237,3.53,3.31,3.42,3.22,2,28,63,5,2,2,3,4,3,4,3,3,4,3,3,3,4,3,3,4,3,2,4,3,2,2,0.479522976,1.210220099,0.456484324,1.174842757,0.830267539
238,2.68,2.09,2.15,2.11,2,37,43,3,2,1,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,-0.787464497,-0.16306536,-1.323574615,-0.064253609,-0.58458952
239,2.47,0.93,2.78,0.47,2,39,61,2,2,1,3,3,3,2,3,3,4,3,3,3,3,3,3,3,2,3,4,4,3,3,-1.100484931,-1.46881219,-0.440553252,-1.894990581,-1.226210238
240,2.98,1.00,3.08,1.20,2,37,45,4,2,2,3,2,2,2,3,3,2,2,3,3,2,1,1,1,3,3,2,1,3,3,-0.343961011,-1.394383305,-0.024491774,-1.083810188,-0.71166157
241,2.47,1.64,2.58,1.64,1,35,56,4,2,2,2,4,2,4,3,2,3,3,3,3,3,3,3,4,2,2,4,3,2,1,-1.097503958,-0.668479532,-0.718950428,-0.584590356,-0.767381069
242,1.49,3.19,1.22,3.08,1,34,42,3,2,1,3,3,3,2,1,2,3,2,2,1,2,2,2,3,2,1,2,2,2,2,-2.561246959,1.07514284,-2.627082342,1.018560333,-0.773656532
243,3.38,2.00,1.89,1.10,2,37,62,5,2,2,3,4,3,4,4,3,3,3,3,3,3,3,3,3,4,2,4,2,3,2,0.251465015,-0.269157346,-1.688697077,-1.187394084,-0.723445873
244,0.94,0.45,0.97,0.41,1,32,51,4,2,2,1,3,3,3,2,2,3,3,2,2,3,2,3,3,3,2,4,3,2,2,-3.381062382,-2.009121222,-2.977487645,-1.961968763,-2.582410003
245,0.98,0.91,0.96,0.87,2,27,48,4,2,2,2,3,2,3,3,2,3,2,2,2,3,2,2,3,2,2,3,3,2,2,-3.320861921,-1.491465866,-2.991433878,-1.453730032,-2.314372924
246,2.33,0.51,2.96,0.61,1,30,47,2,2,1,1,2,3,4,3,3,2,1,2,2,4,1,3,1,3,2,4,2,2,2,-1.309165221,-1.941582593,-0.188261434,-1.738708157,-1.294429351
247,2.91,3.01,2.54,2.94,2,37,47,5,2,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,1,2,2,3,1,1,-0.444632592,0.872526953,-0.776942343,0.862277908,0.128307482
248,3.42,1.29,3.10,1.14,1,47,35,5,1,2,1,2,1,2,2,2,4,1,1,1,1,1,1,1,3,3,1,2,2,3,0.31062235,-1.063228753,0.001132576,-1.148462976,-0.474984201
249,4.00,1.30,3.61,0.93,1,50,24,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1.18009252,-1.048747271,0.718452642,-1.384784353,-0.133746615
250,3.44,3.10,3.40,3.25,1,67,35,3,1,1,2,1,1,1,2,2,1,3,2,2,1,2,3,2,1,2,3,2,1,1,0.3489615,0.974477814,0.431493337,1.213120106,0.742013189
251,3.38,0.90,3.71,1.53,2,48,36,4,1,2,2,3,2,2,4,2,1,1,2,2,2,1,1,1,2,2,2,1,2,1,0.255936951,-1.502581504,0.862954475,-0.711709367,-0.273849861
252,2.87,0.65,1.99,0.79,2,41,29,4,1,2,2,1,1,1,3,3,1,1,3,2,1,1,1,1,1,1,2,1,1,1,-0.501860439,-1.783330473,-1.551242556,-1.541177678,-1.344402786
253,3.15,1.31,2.70,0.54,2,41,41,2,1,1,2,2,2,2,3,2,1,2,3,2,3,2,2,2,1,2,4,2,1,1,-0.086894953,-1.041067538,-0.552682949,-1.816849369,-0.874373702
254,3.55,2.97,3.87,2.74,2,41,32,2,1,1,1,2,3,3,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,0.509334446,0.8275012,1.087213869,0.639017302,0.765766704
255,3.77,2.99,3.89,3.33,1,44,24,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,0.837260615,0.850014077,1.115246293,1.297636091,1.025039269
256,3.50,2.83,3.30,2.43,1,42,41,4,1,2,2,2,2,3,3,3,1,2,3,2,1,1,3,2,1,2,4,2,1,1,0.436057776,0.674764799,0.282652555,0.295643274,0.422279601
257,3.51,1.94,3.56,2.10,2,61,30,5,1,2,1,3,1,3,2,2,1,1,1,2,1,1,1,2,1,1,3,1,1,1,0.445752909,-0.335442334,0.654065614,-0.078478771,0.171474355
258,3.48,3.16,3.50,3.03,1,56,29,1,1,1,1,3,1,3,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,0.409403534,1.041354568,0.573166787,0.961254191,0.74629477
