ID,avg_responsefriend_approached,avg_responsestranger_approached,avg_responsefriend_approaching,avg_responsestranger_approaching,gender,age,UCLA,COVID_LONELINESS,loneliness_L1_H2,covid_loneliness_1L_2H,ucla_1_REV,ucla_2,ucla_3,ucla_4,ucla_5_REV,ucla_6_REV,ucla_7,ucla_8,ucla_9_REV,ucla_10_REV,ucla_11,ucla_12,ucla_13,ucla_14,ucla_15_REV,ucla_16_REV,ucla_17,ucla_18,ucla_19_REV,ucla_20_REV,Zavg_responsefriend1,Zavg_responsestranger1,Zavg_responsefriend2,Zavg_responsestranger2,response_avg_z
29,3.52,2.70,3.24,2.67,1,32,25,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,1,1,0.467256268,0.519822597,0.202147049,0.557114181,0.436585024
30,3.64,2.68,3.43,2.52,2,39,40,4,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,0.648883735,0.495658702,0.475230842,0.394812717,0.503646499
31,3.08,1.44,2.67,2.48,1,33,35,2,1,1,2,1,2,2,2,2,1,2,1,1,2,1,3,1,2,1,2,1,3,3,-0.191235098,-0.894733842,-0.594731585,0.348778513,-0.332980503
32,3.18,2.58,3.28,2.92,1,40,28,4,1,2,1,1,1,2,2,2,1,2,1,1,1,1,2,3,1,1,1,2,1,1,-0.036287929,0.384031323,0.255661773,0.837331978,0.360184286
33,3.34,2.13,3.19,1.19,2,35,27,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,0.196314012,-0.118039607,0.134111445,-1.091252398,-0.219716637
34,3.27,3.10,3.46,3.09,2,34,29,3,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,3,2,1,1,0.091973867,0.973834897,0.512549172,1.029723363,0.652020325
35,3.26,0.98,3.32,1.03,2,38,24,3,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,0.077068132,-1.412529999,0.316322202,-1.269860883,-0.572250137
36,3.24,2.81,3.42,2.71,2,37,33,3,1,1,2,1,1,2,2,2,1,2,3,1,3,1,1,2,1,1,4,1,1,1,0.042896514,0.652891212,0.461317234,0.60330539,0.440102587
37,3.13,1.88,3.35,1.75,1,37,40,2,1,1,1,3,1,2,2,2,3,3,2,1,2,1,3,2,2,2,3,1,2,2,-0.116706423,-0.399450562,0.358370839,-0.4661227,-0.155977212
38,3.31,1.98,3.29,1.97,2,39,38,3,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,0.152845883,-0.282390619,0.273771585,-0.21835306,-0.018531553
39,3.33,1.53,3.43,1.61,1,34,31,5,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1,0.184202874,-0.789908347,0.472778015,-0.623521464,-0.18911223
40,3.49,3.24,3.41,3.17,1,39,37,4,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,3,3,2,1,0.419900036,1.131425031,0.442468111,1.119027605,0.778205196
41,3.27,1.40,2.97,0.98,2,31,34,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,1,3,2,2,1,0.096834732,-0.944761047,-0.178479148,-1.324292513,-0.587674494
42,3.69,2.81,3.65,2.96,1,30,30,3,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,0.723064777,0.651542631,0.774650438,0.885035702,0.758573387
43,0.67,0.34,0.57,0.34,1,36,36,4,1,2,2,2,2,2,3,2,1,2,1,2,1,2,2,2,2,2,3,1,1,1,-3.786622338,-2.137929408,-3.543106705,-2.040676599,-2.877083763
44,3.61,2.99,3.53,2.94,1,35,25,3,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,1,0.602885782,0.846430216,0.617087084,0.862489293,0.732223093
45,3.83,3.12,3.82,3.05,1,29,27,4,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,3,2,1,1,0.926695025,0.996347773,1.017132808,0.985071242,0.981311712
46,3.39,2.35,3.07,1.51,1,39,30,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,3,1,1,2,1,2,0.267274468,0.134103101,-0.037072033,-0.734726889,-0.092605338
47,3.65,2.98,3.55,3.24,1,35,36,3,1,1,2,2,2,3,1,1,2,2,1,2,2,2,1,1,3,1,1,3,2,2,0.658391796,0.838757638,0.638695081,1.197168818,0.833253333
48,3.26,2.87,3.13,2.92,2,40,22,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0.077068132,0.714936818,0.050014172,0.839951847,0.420492742
49,0.97,0.71,0.87,0.56,2,31,30,4,1,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,3,1,1,1,-3.330147212,-1.711056442,-3.115093674,-1.796947842,-2.488311292
50,3.49,2.34,3.41,2.44,1,38,30,4,1,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,3,2,1,1,0.419900036,0.118345595,0.442468111,0.304126392,0.321210034
51,3.07,1.50,3.25,1.97,2,32,35,3,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,1,1,-0.207714201,-0.827797445,0.219536719,-0.216797828,-0.258193189
